Node ID (sub-cluster),Relationship,Node ID (cluster)
13480,SUBTYPE,12489
13480,SUBTYPE,80178
13480,SUBTYPE,67270
13480,SUBTYPE,7138
13480,SUBTYPE,5696
13480,SUBTYPE,79460
13480,SUBTYPE,9672
13480,SUBTYPE,75606
13480,SUBTYPE,9792
13480,SUBTYPE,80803
13480,SUBTYPE,6978
13480,SUBTYPE,67949
13480,SUBTYPE,2260
13480,SUBTYPE,81779
13480,SUBTYPE,9106
13480,SUBTYPE,71033
13480,SUBTYPE,12830
13480,SUBTYPE,5988
13480,SUBTYPE,2818
13480,SUBTYPE,13295
13480,SUBTYPE,14982
13480,SUBTYPE,76639
13480,SUBTYPE,6685
13480,SUBTYPE,3357
13480,SUBTYPE,80987
13480,SUBTYPE,76140
13480,SUBTYPE,77585
13480,SUBTYPE,76635
13480,SUBTYPE,79878
13480,SUBTYPE,12194
13480,SUBTYPE,12885
13480,SUBTYPE,81855
13480,SUBTYPE,72787
13480,SUBTYPE,3328
13480,SUBTYPE,7085
13480,SUBTYPE,10694
13480,SUBTYPE,6501
13480,SUBTYPE,81403
13480,SUBTYPE,69357
13480,SUBTYPE,71525
13480,SUBTYPE,12252
13480,SUBTYPE,6902
13480,SUBTYPE,80696
13480,SUBTYPE,80016
13480,SUBTYPE,69223
13480,SUBTYPE,77526
13480,SUBTYPE,72179
13480,SUBTYPE,394
13480,SUBTYPE,79266
13480,SUBTYPE,6519
13480,SUBTYPE,3579
13480,SUBTYPE,3398
13480,SUBTYPE,75434
13480,SUBTYPE,1672
13480,SUBTYPE,6435
13480,SUBTYPE,72884
13480,SUBTYPE,8698
13480,SUBTYPE,71878
13480,SUBTYPE,72159
13480,SUBTYPE,73823
13480,SUBTYPE,74234
13480,SUBTYPE,220
13480,SUBTYPE,81766
13480,SUBTYPE,4484
13480,SUBTYPE,81583
13480,SUBTYPE,384
13480,SUBTYPE,2356
13480,SUBTYPE,2670
13480,SUBTYPE,12317
13480,SUBTYPE,13477
13480,SUBTYPE,13226
13480,SUBTYPE,4583
13480,SUBTYPE,5846
13480,SUBTYPE,5813
13480,SUBTYPE,4652
13480,SUBTYPE,69928
13480,SUBTYPE,81497
13480,SUBTYPE,3567
13480,SUBTYPE,11772
13480,SUBTYPE,70210
13480,SUBTYPE,69059
13480,SUBTYPE,67322
13480,SUBTYPE,81438
13480,SUBTYPE,68013
13480,SUBTYPE,9097
13480,SUBTYPE,11489
13480,SUBTYPE,81067
13480,SUBTYPE,69949
13480,SUBTYPE,0
13480,SUBTYPE,78288
13480,SUBTYPE,76877
13480,SUBTYPE,76053
13480,SUBTYPE,6708
13480,SUBTYPE,4053
13480,SUBTYPE,70519
13480,SUBTYPE,77794
13480,SUBTYPE,78277
13480,SUBTYPE,76660
13480,SUBTYPE,78066
13480,SUBTYPE,1360
13480,SUBTYPE,2706
13480,SUBTYPE,11566
13480,SUBTYPE,3927
13480,SUBTYPE,72125
13480,SUBTYPE,80009
13480,SUBTYPE,8910
13480,SUBTYPE,575
13480,SUBTYPE,76031
13480,SUBTYPE,67774
13480,SUBTYPE,2455
13480,SUBTYPE,7700
13480,SUBTYPE,72089
13480,SUBTYPE,759
13480,SUBTYPE,11440
13480,SUBTYPE,81448
13480,SUBTYPE,68042
13480,SUBTYPE,80323
13480,SUBTYPE,8880
13480,SUBTYPE,7213
13480,SUBTYPE,75038
13480,SUBTYPE,2190
13480,SUBTYPE,70877
13480,SUBTYPE,70768
13480,SUBTYPE,1362
13480,SUBTYPE,12288
13480,SUBTYPE,72242
13480,SUBTYPE,4943
13480,SUBTYPE,74566
13480,SUBTYPE,4853
13480,SUBTYPE,70459
13480,SUBTYPE,7570
13480,SUBTYPE,73435
13480,SUBTYPE,70219
13480,SUBTYPE,75083
13480,SUBTYPE,77155
13480,SUBTYPE,9695
13480,SUBTYPE,73778
13480,SUBTYPE,74512
13480,SUBTYPE,80413
13480,SUBTYPE,715
13480,SUBTYPE,76017
13480,SUBTYPE,73004
13480,SUBTYPE,77532
13480,SUBTYPE,11495
13480,SUBTYPE,9934
13480,SUBTYPE,2442
13480,SUBTYPE,11451
13480,SUBTYPE,70472
13480,SUBTYPE,70669
13480,SUBTYPE,5328
13480,SUBTYPE,3456
13480,SUBTYPE,72634
13480,SUBTYPE,77768
13480,SUBTYPE,1865
13480,SUBTYPE,69764
13480,SUBTYPE,1021
13480,SUBTYPE,71302
13480,SUBTYPE,7107
13480,SUBTYPE,11021
13480,SUBTYPE,2929
13480,SUBTYPE,5831
13480,SUBTYPE,74486
13480,SUBTYPE,881
13480,SUBTYPE,74206
13480,SUBTYPE,75688
13480,SUBTYPE,76363
13480,SUBTYPE,5461
13480,SUBTYPE,73912
13480,SUBTYPE,6570
13480,SUBTYPE,72314
13480,SUBTYPE,633
13480,SUBTYPE,3902
13480,SUBTYPE,79165
13480,SUBTYPE,9679
13480,SUBTYPE,73804
13480,SUBTYPE,68995
13480,SUBTYPE,12294
13480,SUBTYPE,81688
13480,SUBTYPE,7234
13480,SUBTYPE,78324
13480,SUBTYPE,77202
13480,SUBTYPE,3525
13480,SUBTYPE,6332
13480,SUBTYPE,10956
13480,SUBTYPE,81205
13480,SUBTYPE,2200
13480,SUBTYPE,70122
13480,SUBTYPE,2031
13480,SUBTYPE,5133
13480,SUBTYPE,70064
13480,SUBTYPE,11529
13480,SUBTYPE,262
13480,SUBTYPE,71139
13480,SUBTYPE,2529
13480,SUBTYPE,8132
13480,SUBTYPE,6619
13480,SUBTYPE,76145
13480,SUBTYPE,68336
13480,SUBTYPE,13850
13480,SUBTYPE,10037
13480,SUBTYPE,8739
13480,SUBTYPE,67390
13480,SUBTYPE,78740
13480,SUBTYPE,13339
13480,SUBTYPE,13154
13480,SUBTYPE,78550
13480,SUBTYPE,72936
13480,SUBTYPE,5666
13480,SUBTYPE,72963
13480,SUBTYPE,67743
13480,SUBTYPE,12551
13480,SUBTYPE,79145
13480,SUBTYPE,70926
13480,SUBTYPE,76612
13480,SUBTYPE,14812
13480,SUBTYPE,4428
13480,SUBTYPE,12592
13480,SUBTYPE,8488
13480,SUBTYPE,7897
